Countries,Unemployment rate,Infant Mortality per 1000 births,GDP per capita,Literacy,Phones per 1000 people,Service,Deathrate,Life Expectancy,Access to electricity,Internet Usage 
Afghanistan,11.18,163.07,700,36,3.2,0.38,20.34,65,97.7,13.5
Albania,13.62,21.52,4500,86.5,71.2,0.579,5.22,77.8,100,71.8
Algeria,12,31,6000,70,78.1,0.298,4.61,75.6,100,47.7
Angola,16.639,191.19,1900,42,7.8,0.246,24.2,52.4,41.9,14.3
Argentina,8.35,15.18,11200,97.1,220.4,0.547,7.55,76.3,100,74.3
Armenia,12.914,23.28,3500,98.6,195.7,0.418,8.23,74.8,100,64.7
Australia,5.59,4.69,29000,100,565.5,0.7,7.51,82.8,100,86.5
Austria,5.56,4.66,30000,98,452.2,0.678,9.76,81.5,100,87.9
Azerbaijan,5,81.74,3400,97,137.1,0.402,9.75,72.7,100,79
Bahrain,1.192,17.27,16900,89.1,281.3,0.608,4.14,76.9,100,95.9
Bangladesh,4.37,62.6,1900,43.1,7.3,0.603,8.27,71.8,88,15
Barbados,8.62,12.5,15700,97.4,481.9,0.78,8.67,75.5,100,81.8
Belarus,5.65,13.37,6100,99.6,319.1,0.591,14.02,72.3,100,74.4
Belgium,7.09,4.68,29100,98,462.6,0.749,10.27,81.1,100,87.7
Belize,6.6,25.69,4900,94.1,115.7,0.612,5.72,71,98.3,47.1
Benin,1.749,85,1100,40.9,9.7,0.546,12.22,60,43.1,20
Bhutan,3.048,100.44,1300,42.2,14.3,0.363,12.7,69.8,97.7,48.1
Botswana,19.702,54.58,9000,79.8,80.5,0.507,29.5,65.7,62.8,47
Brazil,12.79,29.61,7600,86.4,225.3,0.516,6.17,75,100,67.5
Bulgaria,6.16,20.55,7600,98.6,336.3,0.603,14.27,74.5,100,63.4
Burkina Faso,4.691,97.57,1100,26.6,7,0.482,15.6,59.9,25.5,16
Cambodia,0.14,71.48,1900,69.4,2.6,0.35,9.06,68.7,89.1,32.4
Cameroon,3.583,68.26,1800,79,5.7,0.382,13.47,57.3,61.4,23.2
Canada,6.43,4.75,29800,97,552.2,0.684,7.8,82.2,100,91
Chad,1.111,93.82,1200,47.5,1.3,0.406,16.38,53.1,10.9,6.5
Chile,6.95,8.8,9900,96.2,213,0.447,5.81,85,100,82.3
Colombia,9.09,20.97,6300,92.5,176.2,0.533,5.58,74.8,99.6,62.3
Comoros,4.91,74.93,700,56.5,24.5,0.56,8.2,63.5,79.9,8.5
Costa Rica,7.73,9.95,9100,96,340.7,0.614,4.36,79.6,99.6,71.4
Croatia,11.21,6.84,10600,98.5,420.4,0.622,11.48,78,100,67.1
Cuba,1.7,6.33,2900,97,74.7,0.684,7.22,79.1,100,57.1
Denmark,5.83,4.56,31100,100,614.6,0.735,10.36,86,100,97.1
Djibouti,26.06,104.13,1300,67.9,22.8,0.596,19.31,63.5,60.2,55.7
Dominican Republic,5.83,32.38,6000,84.7,97.4,0.582,5.73,73.9,100,67.6
Ecuador,3.84,23.66,3300,92.5,125.6,0.618,4.23,76.2,100,57.3
El Salvador,4.39,25.1,4800,80.2,142.4,0.599,5.78,73.5,99.5,33.8
Equatorial Guinea,8.334,85.13,2700,85.7,18.5,0.062,15.06,58.2,67.2,26.2
Eritrea,6.073,74.87,700,58.6,7.9,0.643,9.6,64.7,48.4,1.3
Estonia,5.76,7.87,12300,99.8,333.8,0.666,13.25,77.6,100,88.1
Fiji,4.326,12.62,5800,93.7,112.6,0.776,5.65,69.9,96,50
Finland,8.64,3.57,27400,100,405.3,0.676,9.86,81.1,100,87.5
France,9.41,4.26,27600,99,586.4,0.764,9.14,82.4,100,80.5
Gabon,20.283,53.64,5500,63.2,27.4,0.348,12.25,66,92.2,62
Georgia,13.94,18.59,2500,99,146.6,0.553,9.23,74.4,100,59.7
Germany,3.75,4.16,27600,99,667.9,0.695,10.62,81,100,84.4
Ghana,3.37,51.43,2200,74.8,14.4,0.387,9.72,62.4,79,39
Greece,21.41,5.53,20000,97.5,589.7,0.733,10.24,81,100,70.5
Guatemala,2.46,35.93,4100,70.6,92.1,0.585,5.2,71.9,93.3,65
Guinea,4.771,90.37,2100,35.9,2.7,0.401,15.48,59,35.4,18
Guinea-Bissau,3.123,107.17,800,42.4,7.4,0.26,16.53,58.9,26,3.9
Guyana,13.822,33.26,4000,98.8,143.5,0.427,8.28,66.2,90.9,37.3
Haiti,13.835,73.45,1600,52.9,16.9,0.52,12.17,63.5,43.8,12.3
Honduras,5.53,29.32,2600,76.2,67.5,0.549,5.28,74.6,86.5,31.7
Hungary,4.16,8.57,13900,99.4,336.2,0.651,13.11,75.8,100,76.8
Iceland,2.74,3.31,30900,99.9,647.7,0.765,6.72,82.7,100,98.3
India,7.728,56.29,2900,59.5,45.4,0.538,8.18,68.3,92.6,34.5
Indonesia,3.78,35.6,3200,87.9,52,0.408,6.25,69.1,98.1,32.3
Iraq,13.02,50.25,1500,40.4,38.6,0.261,5.37,68.9,100,49.4
Ireland,6.71,5.39,29600,98,500.5,0.49,7.82,81.4,100,84.1
Israel,4.14,7.03,19800,95.4,462.3,0.657,6.18,82.5,100,81.6
Italy,11.21,5.94,26700,98.6,430.9,0.688,10.4,82.7,100,63.1
Jamaica,7.4,12.36,3900,87.9,124,0.615,6.52,76.2,99.5,55.1
Japan,2.82,3.26,28200,99,461.2,0.725,9.16,83.7,100,84.6
Jordan,18.12,17.35,4300,91.3,104.5,0.68,2.65,74.1,100,66.8
Kazakhstan,4.9,29.21,6300,98.4,164.1,0.547,9.42,72,100,76.4
Kenya,3.56,61.47,1000,85.1,8.1,0.651,14.02,63.4,63.8,17.8
Kuwait,2.204,9.95,19000,83.5,211,0.516,2.41,74.7,100,100
Lebanon,10.168,24.52,4800,87.4,255.6,0.67,6.21,74.9,100,78.2
Lesotho,16.447,84.23,3000,84.8,23.7,0.394,28.71,53.7,33.7,29
Liberia,3.065,128.87,1000,57.5,2.3,0.177,23.1,61.4,21.5,8
Libya,18.964,24.6,6400,82.6,127.1,0.425,3.48,72.7,70.1,21.8
Lithuania,7.07,6.89,11400,99.6,223.4,0.62,10.98,73.6,100,77.6
Luxembourg,5.52,4.81,55100,100,515.4,0.86,8.41,82,100,97.4
Madagascar,1.764,76.83,800,68.9,3.6,0.559,11.11,65.5,24.1,9.8
Malawi,5.041,103.32,600,62.7,7.9,0.499,19.33,58.3,12.7,13.8
Malaysia,3.41,17.7,9000,88.7,179,0.436,5.05,75,100,80.1
Maldives,5.368,56.52,3900,97.2,90,0.62,7.06,78.5,99.8,63.2
